uid,from_uid,epoch,train_loss,train_loss_best,valid_acc,valid_acc_best,valid_loss,valid_loss_best
0,,1,0.47517417672773565,true,0.9411078717201167,true,0.18822958134875006,true
1,,2,0.15656359225421515,true,0.9623490212411495,true,0.12727606778018727,true
2,,3,0.10143763750204755,true,0.9664306538942108,true,0.11342565075016081,true
3,,4,0.07265592684428113,true,0.9696793002915451,true,0.10354374069092126,true
4,,5,0.056315004594910456,true,0.9740941274468972,true,0.09311790618299197,true
5,,6,0.043029631272071676,true,0.9713452728029988,false,0.10019202414513727,false
6,,7,0.03461681064876098,true,0.97076218242399,false,0.10642864949278213,false
7,,8,0.0283333105644915,true,0.9692628071636818,false,0.12771687501547288,false
8,,9,0.023698081428066543,true,0.9697625989171179,false,0.1248397599590763,false
9,,10,0.020254216069249462,true,0.9738442315701791,false,0.11242812531148827,false
10,,11,0.017600739855718608,true,0.9714285714285714,false,0.12229490509968109,false
11,,12,0.013163874244699876,true,0.9746772178259059,true,0.112637081089236,false
12,,13,0.010614331251107128,true,0.9745106205747606,false,0.11633807773337618,false
13,,14,0.011242055681822561,false,0.9744273219491878,false,0.11714292346270617,false
14,,15,0.009507204108821164,true,0.975177009579342,true,0.12037123334995536,false
15,,16,0.0075637328857890715,true,0.9762598917117867,true,0.11912028238981007,false
16,,17,0.006059871142913878,true,0.9755935027072054,false,0.12253995682580279,false
17,,18,0.0043265555326195545,true,0.9770095793419409,true,0.11814686613438999,false
18,,19,0.0029741345549760814,true,0.9763431903373594,false,0.12569615992506822,false
19,,20,0.0022717719697760708,true,0.9767596834652228,false,0.12166584508647922,false
20,,21,0.0010286334160211211,true,0.9791753436068305,true,0.11185363285904475,false
21,,22,0.0006259158970377714,true,0.9796751353602665,true,0.11088434621344155,false
22,,23,0.0004706797544968735,true,0.9802582257392753,true,0.11145350747694824,false
23,,24,0.0003918637830194725,true,0.9800083298625573,false,0.1122461453165513,false
24,,25,0.00034387034910720053,true,0.9800916284881299,false,0.112882753556865,false
